city,district,district_en,location,lat,lon
Лодейное Поле,Отдел МВД по Лодейнопольскому району Ленинградской области,Department of the Ministry of Internal Affairs in Lodejornopol district of the Leningrad Region,"Отдел МВД по Лодейнопольскому району Ленинградской области, Лодейное Поле",60.732299,33.554142
Петрозаводск,УМВД России по городу Петрозаводску,Ministry of Internal Affairs of Russia in the city of Petrozavodsk,"УМВД России по городу Петрозаводску, Петрозаводск",61.762553,34.310982
Одинцово,Отдел полиции № 1 МУ МВД «Одинцовское»,"Police Department No. 1 MU MVD ""Odintsovskoye""","Отдел полиции № 1 МУ МВД «Одинцовское», Одинцово",55.6701077,37.26527748
Подольск,Отдел полиции № 3 УМВД по городскому округу Подольск,Police Department No. 3 Ministry of Internal Affairs for Urban District Podolsk,"Отдел полиции № 3 УМВД по городскому округу Подольск, Подольск",55.42592269,37.52632115
Москва,Отдел МВД России по району Выхино г. Москвы,Department of the Ministry of Internal Affairs of Russia in the district of Vykhino city of Moscow,Отдел МВД России по району Выхино г. Москвы,55.705627,37.807685
Москва,ОМВД Алтуфьевский,OMVD Altufyevsky,"ОМВД Алтуфьевский, Москва",55.889507,37.585362
Мегион,Отдел МВД по городу Мегиону,Department of the Ministry of Internal Affairs in the city of Megion,"Отдел МВД по городу Мегиону, Мегион",61.028188,76.110982
Санкт-Петербург,Отдел полиции № 81 Курортного района г. Санкт-Петербурга,Police Department No. 81 Resort District of St. Petersburg,Отдел полиции № 81 Курортного района г. Санкт-Петербурга,60.193829,29.704486
Санкт-Петербург,Отдел полиции № 19 Выборгского района г. Санкт-Петербурга,Police Department No. 19 Vyborg district of St. Petersburg,Отдел полиции № 19 Выборгского района г. Санкт-Петербурга,60.000662,30.332515
Москва,ОМВД России по району Беговой,OMVD of Russia in the area of ​​the running,"ОМВД России по району Беговой, Москва",55.780864,37.567072
Москва,ЗАО,Company,"ЗАО, Москва",55.724046,37.481141
Ростов-на-Дону,Отдел полиции № 4 УМВД по городу Ростову-на-Дону,Police Department No. 4 Ministry of Internal Affairs in the city of Rostov-on-Don,"Отдел полиции № 4 УМВД по городу Ростову-на-Дону, Ростов-на-Дону",47.220843,39.693271
Мурино,Отделение полиции № 87 Всеволожского района Ленинградской области,Department of Police No. 87 of the Vsevolozhsky district of the Leningrad Region,"Отделение полиции № 87 Всеволожского района Ленинградской области, Мурино",60.069983,30.427351
Истра,Отдел МВД по Истринскому району,Department of the Ministry of Internal Affairs in the Istra district,"Отдел МВД по Истринскому району, Истра",55.914663,36.856209
Лыткарино,Отдел полиции по городскому округу Лыткарино МУ МВД «Люберецкое»,"Police Department for the Urban District of Lytkarino MU MVD ""Lyubertsy""","Отдел полиции по городскому округу Лыткарино МУ МВД «Люберецкое», Лыткарино",55.57410901,37.90191358
Переславль-Залесский,Отдел МВД России по городскому округу город Переславль-Залесский,Department of the Ministry of Internal Affairs of Russia in the urban district Pereslavl-Zalessky,"Отдел МВД России по городскому округу город Переславль-Залесский, Переславль-Залесский",56.739624,38.853019
Якутск,Отдел полиции № 2 МУ МВД России «Якутское»,"Police Department No. 2 of the Ministry of Internal Affairs of Russia ""Yakutskoe""","Отдел полиции № 2 МУ МВД России «Якутское», Якутск",62.03280075,129.721815
Арск,Отдел МВД по Арскому району,Department of the Ministry of Internal Affairs in the ARC District,"Отдел МВД по Арскому району, Арск",56.09017552,49.8744429
Таруса,ОВД по Тарусскому району,ATS on the Troots district,"ОВД по Тарусскому району, Таруса",54.727837,37.180122
Москва,Отдел полиции Ильинский УМВД по Красногорскому району,NA,"Отдел полиции Ильинский УМВД по Красногорскому району, Москва",NA,NA
Казань,Отдел полиции № 1 «Авиастроительный» УМВД по г. Казани,NA,Отдел полиции № 1 «Авиастроительный» УМВД по г. Казани,NA,NA
Ставрополь,Отдел полиции № 2 УМВД по г. Ставрополю,NA,Отдел полиции № 2 УМВД по г. Ставрополю,NA,NA
Туймазы,Отдел МВД по Туймазинскому району,NA,"Отдел МВД по Туймазинскому району, Туймазы",NA,NA
Тамбов,Отдел полиции № 1 УМВД по г. Тамбову,NA,Отдел полиции № 1 УМВД по г. Тамбову,NA,NA
Ярославль,Управление МВД России по Ярославской области,NA,"Управление МВД России по Ярославской области, Ярославль",NA,NA
